amount,time,location,device,is_fraud
28.4,7.7,Москва,Смартфон,0
14.12,2.5,Москва,ПК,0
33.53,1.7,Зарубежье,Смартфон,0
87.82,2.3,Онлайн,ПК,0
12.71,14.0,Москва,ПК,0
12.71,1.2,Санкт-Петербург,Смартфон,0
93.42,8.1,Санкт-Петербург,Смартфон,0
38.25,18.1,Санкт-Петербург,Банкомат,0
9.81,7.1,Санкт-Петербург,Смартфон,0
29.87,18.3,Москва,Смартфон,0
9.88,17.9,Онлайн,Терминал,0
9.85,5.9,Онлайн,ПК,0
21.46,17.5,Банкомат,ПК,0
2.0,17.9,Москва,Банкомат,0
2.47,9.5,Банкомат,Смартфон,0
8.86,5.1,Москва,Смартфон,0
5.4,12.5,Санкт-Петербург,Банкомат,0
23.24,22.1,Банкомат,Банкомат,0
6.06,15.4,Санкт-Петербург,Смартфон,0
3.48,4.2,Москва,Смартфон,1
82.45,16.4,Москва,Смартфон,0
12.83,10.3,Санкт-Петербург,Банкомат,0
17.71,14.2,Онлайн,Смартфон,0
3.43,17.6,Зарубежье,Терминал,0
9.04,12.4,Онлайн,Терминал,0
18.58,19.5,Банкомат,Банкомат,0
4.64,17.3,Онлайн,ПК,0
24.86,14.8,Банкомат,Смартфон,0
8.49,3.6,Москва,Смартфон,0
11.93,20.1,Зарубежье,ПК,0
8.48,22.5,Санкт-Петербург,Смартфон,0
126.15,3.3,Зарубежье,Смартфон,0
16.2,11.7,Москва,ПК,0
5.14,6.2,Онлайн,ПК,0
40.64,18.1,Онлайн,Банкомат,0
4.29,17.3,Зарубежье,Смартфон,0
20.69,3.4,Онлайн,Смартфон,1
1.9,21.0,Санкт-Петербург,ПК,0
3.82,4.3,Санкт-Петербург,Терминал,0
20.42,19.1,Санкт-Петербург,Банкомат,1
37.05,11.0,Москва,Смартфон,0
19.86,7.9,Москва,Смартфон,0
14.48,3.8,Москва,Терминал,0
11.81,4.0,Санкт-Петербург,Смартфон,0
3.23,15.9,Банкомат,Смартфон,0
7.45,13.2,Банкомат,Смартфон,0
9.91,2.9,Москва,ПК,0
52.61,2.7,Москва,Смартфон,0
24.0,1.7,Москва,Смартфон,0
2.36,17.9,Москва,ПК,1
23.49,17.1,Москва,Смартфон,0
10.77,1.4,Санкт-Петербург,ПК,0
7.81,13.4,Санкт-Петербург,ПК,0
32.23,2.0,Санкт-Петербург,ПК,0
51.12,21.7,Санкт-Петербург,Смартфон,0
45.81,21.8,Москва,ПК,0
6.53,16.8,Онлайн,Смартфон,0
11.7,22.2,Банкомат,Смартфон,0
23.67,19.5,Москва,ПК,0
48.09,19.9,Москва,ПК,0
9.71,13.7,Москва,Смартфон,1
13.41,7.3,Москва,Смартфон,0
4.87,5.2,Санкт-Петербург,Смартфон,0
4.41,7.9,Москва,ПК,0
40.2,15.1,Санкт-Петербург,ПК,0
73.1,4.1,Москва,Банкомат,0
15.19,6.2,Онлайн,ПК,0
49.59,11.2,Москва,Банкомат,0
24.48,5.6,Санкт-Петербург,Смартфон,0
8.09,14.1,Москва,Смартфон,1
24.47,22.2,Москва,Банкомат,0
89.29,18.0,Банкомат,Смартфон,0
15.81,16.0,Онлайн,ПК,0
91.94,14.0,Москва,Смартфон,0
0.92,11.7,Онлайн,Терминал,0
40.61,4.5,Онлайн,Смартфон,0
18.1,21.5,Санкт-Петербург,Смартфон,0
11.84,6.0,Санкт-Петербург,ПК,0
18.19,2.2,Банкомат,Смартфон,0
1.85,18.0,Москва,Терминал,0
12.91,4.2,Санкт-Петербург,Смартфон,0
24.36,8.9,Москва,ПК,0
83.57,0.7,Онлайн,Смартфон,0
9.3,3.3,Банкомат,Банкомат,0
6.76,4.2,Банкомат,Банкомат,1
9.47,1.3,Онлайн,Банкомат,0
45.01,15.8,Зарубежье,Банкомат,0
23.61,20.1,Онлайн,Смартфон,0
9.18,9.0,Онлайн,Терминал,1
28.92,21.0,Зарубежье,ПК,0
18.3,5.1,Москва,Банкомат,1
47.73,7.8,Онлайн,ПК,0
7.6,3.6,Онлайн,Смартфон,1
11.47,14.9,Банкомат,ПК,0
10.68,10.1,Банкомат,Смартфон,0
3.29,14.7,Банкомат,ПК,0
22.78,18.3,Зарубежье,Смартфон,0
21.91,13.1,Санкт-Петербург,Смартфон,1
16.54,15.1,Москва,Терминал,0
12.7,22.4,Москва,Терминал,0
3.47,7.2,Санкт-Петербург,Банкомат,0
10.35,8.6,Санкт-Петербург,Банкомат,0
11.28,17.2,Санкт-Петербург,ПК,0
6.8,14.7,Санкт-Петербург,ПК,0
13.77,4.3,Банкомат,Смартфон,0
25.65,9.0,Санкт-Петербург,Терминал,0
130.95,11.2,Банкомат,Банкомат,0
19.93,10.1,Банкомат,ПК,0
21.83,4.3,Санкт-Петербург,Терминал,0
15.15,22.2,Санкт-Петербург,ПК,0
1.99,18.3,Онлайн,Смартфон,0
15.97,11.6,Онлайн,Терминал,0
17.57,16.3,Москва,ПК,0
247.04,21.5,Москва,ПК,0
13.31,3.3,Москва,Смартфон,0
22.91,6.0,Москва,ПК,0
15.83,13.0,Москва,ПК,0
4.55,19.2,Москва,ПК,1
57.81,0.9,Онлайн,ПК,0
37.6,23.6,Зарубежье,Смартфон,0
39.26,10.9,Онлайн,ПК,0
6.05,8.6,Зарубежье,Терминал,0
76.94,7.0,Онлайн,Смартфон,0
3.52,4.2,Онлайн,Смартфон,0
31.36,19.0,Санкт-Петербург,Смартфон,0
183.0,22.9,Москва,Терминал,0
5.53,9.9,Банкомат,ПК,0
8.82,22.9,Банкомат,Терминал,0
18.35,19.8,Санкт-Петербург,ПК,0
9.45,11.5,Москва,ПК,0
2.99,16.2,Онлайн,Банкомат,0
17.73,10.4,Москва,Смартфон,0
5.11,13.4,Москва,Смартфон,0
27.69,1.4,Банкомат,ПК,0
5.98,16.7,Санкт-Петербург,Смартфон,0
90.46,1.3,Онлайн,Смартфон,0
6.95,19.6,Банкомат,Смартфон,0
11.54,19.8,Санкт-Петербург,Смартфон,0
40.24,5.7,Санкт-Петербург,Смартфон,0
4.25,7.8,Москва,Банкомат,0
21.12,11.6,Москва,Смартфон,1
69.26,14.3,Онлайн,Смартфон,1
2.81,6.9,Санкт-Петербург,Смартфон,0
20.15,14.2,Москва,ПК,0
21.89,7.1,Москва,ПК,0
38.86,1.3,Санкт-Петербург,Банкомат,1
4.22,0.1,Санкт-Петербург,Банкомат,0
3.85,2.4,Онлайн,Смартфон,1
29.2,19.0,Санкт-Петербург,Смартфон,0
22.8,23.1,Москва,Смартфон,0
21.66,10.2,Санкт-Петербург,Терминал,0
24.07,12.3,Банкомат,ПК,0
7.78,3.5,Москва,Смартфон,0
21.23,13.2,Онлайн,Смартфон,1
22.7,3.5,Санкт-Петербург,ПК,0
7.49,14.7,Онлайн,Смартфон,0
128.04,22.4,Москва,Банкомат,0
27.69,4.7,Зарубежье,ПК,0
4.44,18.3,Онлайн,ПК,0
33.86,0.6,Банкомат,ПК,0
5.63,9.0,Москва,Смартфон,0
39.09,2.7,Онлайн,ПК,0
58.82,8.5,Онлайн,ПК,0
6.67,4.2,Санкт-Петербург,Смартфон,0
47.45,9.0,Санкт-Петербург,ПК,0
25.9,10.0,Онлайн,Банкомат,0
40.62,7.2,Москва,Смартфон,0
132.49,15.8,Онлайн,ПК,0
12.55,22.1,Москва,Смартфон,0
7.18,9.6,Москва,ПК,0
6.18,4.6,Онлайн,Смартфон,1
6.7,6.5,Москва,ПК,0
15.11,20.5,Зарубежье,Смартфон,0
23.93,13.7,Банкомат,Смартфон,0
22.29,10.9,Онлайн,ПК,0
40.85,3.6,Банкомат,ПК,0
16.68,10.8,Банкомат,Банкомат,1
81.36,6.7,Москва,ПК,1
12.29,22.6,Банкомат,ПК,0
327.73,21.2,Москва,ПК,0
32.73,2.0,Санкт-Петербург,Смартфон,0
6.41,12.4,Санкт-Петербург,Смартфон,0
5.06,5.4,Онлайн,Смартфон,1
27.96,9.9,Москва,Смартфон,0
12.86,21.0,Москва,Смартфон,0
36.07,12.7,Онлайн,Терминал,0
27.68,8.0,Санкт-Петербург,Банкомат,0
15.18,5.0,Онлайн,Терминал,0
6.48,19.2,Онлайн,Терминал,0
3.11,15.0,Москва,Смартфон,0
10.06,11.2,Москва,Смартфон,0
42.18,5.2,Онлайн,ПК,0
20.81,8.0,Санкт-Петербург,Банкомат,0
4.18,23.0,Москва,ПК,0
19.9,12.5,Москва,ПК,0
25.12,9.6,Москва,Смартфон,0
6.22,12.5,Москва,Смартфон,1
19.47,18.7,Санкт-Петербург,Смартфон,0
17.53,8.2,Онлайн,Смартфон,0
4.68,4.3,Санкт-Петербург,Банкомат,0
24.38,14.0,Банкомат,Смартфон,0
30.47,16.0,Москва,Терминал,0
54.13,17.1,Санкт-Петербург,Смартфон,0
52.41,21.2,Онлайн,Терминал,1
3.61,8.9,Онлайн,ПК,0
5.86,1.8,Онлайн,ПК,1
28.98,23.0,Онлайн,Смартфон,0
28.94,10.4,Онлайн,ПК,0
28.98,15.0,Москва,Банкомат,0
1139.11,16.0,Онлайн,Смартфон,0
30.81,13.1,Онлайн,Смартфон,1
57.35,4.9,Зарубежье,Смартфон,0
46.96,18.1,Онлайн,Смартфон,0
33.67,19.3,Онлайн,Смартфон,0
11.63,13.3,Санкт-Петербург,ПК,0
37.9,11.7,Банкомат,Смартфон,0
7.03,2.7,Зарубежье,ПК,0
12.67,2.0,Онлайн,Банкомат,0
9.64,8.1,Онлайн,ПК,0
17.99,7.5,Москва,Смартфон,0
209.79,22.9,Онлайн,ПК,0
2.11,18.8,Онлайн,Смартфон,0
34.98,15.8,Онлайн,Смартфон,1
2.79,12.4,Москва,Смартфон,0
9.79,4.0,Онлайн,Терминал,0
54.48,23.5,Москва,ПК,0
17.65,9.0,Онлайн,Смартфон,0
5.03,2.6,Москва,ПК,0
7.49,11.9,Онлайн,Смартфон,0
34.73,21.0,Москва,Терминал,0
7.36,21.3,Москва,Терминал,0
20.87,0.3,Онлайн,Смартфон,0
17.29,21.3,Москва,Смартфон,1
8.03,6.5,Онлайн,ПК,0
173.88,0.9,Зарубежье,ПК,0
33.03,20.3,Зарубежье,Смартфон,0
1.77,20.7,Москва,ПК,0
20.19,14.3,Банкомат,Смартфон,0
7.94,13.8,Санкт-Петербург,ПК,0
42.0,19.5,Банкомат,Смартфон,0
6.88,18.9,Онлайн,ПК,0
14.49,21.4,Москва,ПК,0
28.66,13.3,Санкт-Петербург,ПК,0
42.62,23.2,Москва,ПК,0
4.39,23.9,Онлайн,ПК,0
11.38,2.8,Санкт-Петербург,Смартфон,0
9.75,20.4,Онлайн,Смартфон,0
8.02,12.0,Онлайн,Смартфон,0
114.66,9.3,Зарубежье,Смартфон,0
25.67,14.7,Зарубежье,ПК,0
4.11,1.3,Санкт-Петербург,Смартфон,0
45.13,12.2,Онлайн,Смартфон,1
169.76,20.9,Банкомат,Банкомат,0
51.2,5.1,Банкомат,ПК,0
3.09,10.2,Москва,ПК,0
9.65,22.5,Москва,Смартфон,1
66.26,10.3,Москва,Смартфон,0
7.55,8.6,Санкт-Петербург,ПК,0
26.79,10.6,Москва,Банкомат,0
38.56,12.5,Санкт-Петербург,Смартфон,0
5.93,15.2,Онлайн,ПК,0
15.4,19.2,Санкт-Петербург,Терминал,0
0.47,10.9,Онлайн,ПК,0
5.33,19.6,Москва,Смартфон,0
12.46,12.8,Банкомат,ПК,0
